      Step     Time          Energy          fmax
BFGS:    0 22:11:02      -80.648155        1.227976
BFGS:    1 22:11:02      -80.687874        1.121608
BFGS:    2 22:11:02      -80.915268        1.180308
BFGS:    3 22:11:02      -80.949661        0.709643
BFGS:    4 22:11:02      -81.101273        1.436315
BFGS:    5 22:11:02      -81.651993        2.076758
BFGS:    6 22:11:03      -81.812782        3.416870
BFGS:    7 22:11:03      -81.936447        1.489187
BFGS:    8 22:11:03      -82.016884        1.196321
BFGS:    9 22:11:03      -82.197838        2.118521
BFGS:   10 22:11:03      -82.273941        0.496588
BFGS:   11 22:11:03      -82.290268        0.274623
BFGS:   12 22:11:03      -82.294746        0.265275
BFGS:   13 22:11:03      -82.309952        0.336475
BFGS:   14 22:11:03      -82.320198        0.282597
BFGS:   15 22:11:03      -82.339432        0.398529
BFGS:   16 22:11:04      -82.360146        0.434589
BFGS:   17 22:11:04      -82.380981        0.332608
BFGS:   18 22:11:04      -82.394661        0.204394
BFGS:   19 22:11:04      -82.399796        0.148952
BFGS:   20 22:11:04      -82.401382        0.139445
BFGS:   21 22:11:04      -82.403084        0.103867
BFGS:   22 22:11:04      -82.404518        0.088340
BFGS:   23 22:11:04      -82.405472        0.074155
BFGS:   24 22:11:04      -82.405991        0.053060
BFGS:   25 22:11:04      -82.406364        0.052406
BFGS:   26 22:11:04      -82.406685        0.052192
BFGS:   27 22:11:04      -82.406837        0.026440
      Step     Time          Energy          fmax
BFGS:    0 22:13:39      -80.648155        1.227976
BFGS:    1 22:13:39      -80.687874        1.121608
BFGS:    2 22:13:39      -80.915276        1.180304
BFGS:    3 22:13:39      -80.949661        0.709645
BFGS:    4 22:13:39      -81.101273        1.436502
BFGS:    5 22:13:39      -81.651985        2.076212
BFGS:    6 22:13:39      -81.812798        3.416741
BFGS:    7 22:13:39      -81.936447        1.489379
BFGS:    8 22:13:39      -82.016884        1.196114
BFGS:    9 22:13:39      -82.197838        2.118406
BFGS:   10 22:13:39      -82.273941        0.496578
BFGS:   11 22:13:39      -82.290268        0.274624
BFGS:   12 22:13:39      -82.294746        0.265276
BFGS:   13 22:13:40      -82.309952        0.336654
BFGS:   14 22:13:40      -82.320198        0.282205
BFGS:   15 22:13:40      -82.339432        0.398513
BFGS:   16 22:13:40      -82.360138        0.434588
BFGS:   17 22:13:40      -82.380974        0.332631
BFGS:   18 22:13:40      -82.394661        0.204382
BFGS:   19 22:13:40      -82.399796        0.148950
BFGS:   20 22:13:40      -82.401382        0.139437
BFGS:   21 22:13:40      -82.403084        0.103868
BFGS:   22 22:13:40      -82.404518        0.088348
BFGS:   23 22:13:40      -82.405472        0.074163
BFGS:   24 22:13:40      -82.405991        0.053064
BFGS:   25 22:13:40      -82.406357        0.052433
BFGS:   26 22:13:41      -82.406693        0.052207
BFGS:   27 22:13:41      -82.406837        0.026427
      Step     Time          Energy          fmax
BFGS:    0 22:14:18      -80.648155        1.227976
BFGS:    1 22:14:18      -80.687874        1.121609
BFGS:    2 22:14:18      -80.915276        1.180307
BFGS:    3 22:14:18      -80.949661        0.709644
BFGS:    4 22:14:19      -81.101273        1.436329
BFGS:    5 22:14:19      -81.651985        2.076399
BFGS:    6 22:14:19      -81.812790        3.416969
BFGS:    7 22:14:19      -81.936455        1.489373
BFGS:    8 22:14:19      -82.016884        1.196309
BFGS:    9 22:14:19      -82.197853        2.118199
BFGS:   10 22:14:19      -82.273941        0.496649
BFGS:   11 22:14:19      -82.290268        0.274601
BFGS:   12 22:14:19      -82.294746        0.265276
BFGS:   13 22:14:19      -82.309959        0.336535
BFGS:   14 22:14:19      -82.320206        0.282232
BFGS:   15 22:14:19      -82.339439        0.398568
BFGS:   16 22:14:19      -82.360153        0.434573
BFGS:   17 22:14:20      -82.380989        0.332556
BFGS:   18 22:14:20      -82.394669        0.204362
BFGS:   19 22:14:20      -82.399796        0.148939
BFGS:   20 22:14:20      -82.401382        0.139435
BFGS:   21 22:14:20      -82.403084        0.103850
BFGS:   22 22:14:20      -82.404518        0.088333
BFGS:   23 22:14:20      -82.405472        0.074143
BFGS:   24 22:14:20      -82.405991        0.053053
BFGS:   25 22:14:20      -82.406364        0.052435
BFGS:   26 22:14:20      -82.406693        0.052191
BFGS:   27 22:14:20      -82.406837        0.026390
      Step     Time          Energy          fmax
BFGS:    0 22:25:32      -80.648155        1.227976
BFGS:    1 22:25:32      -80.687874        1.121608
BFGS:    2 22:25:32      -80.915276        1.180304
BFGS:    3 22:25:32      -80.949661        0.709643
BFGS:    4 22:25:32      -81.101265        1.436319
BFGS:    5 22:25:32      -81.651985        2.076402
BFGS:    6 22:25:32      -81.812798        3.416944
BFGS:    7 22:25:32      -81.936455        1.489372
BFGS:    8 22:25:32      -82.016884        1.196306
BFGS:    9 22:25:32      -82.197845        2.118296
BFGS:   10 22:25:32      -82.273941        0.496635
BFGS:   11 22:25:33      -82.290276        0.274623
BFGS:   12 22:25:33      -82.294746        0.265274
BFGS:   13 22:25:33      -82.309952        0.336530
BFGS:   14 22:25:33      -82.320206        0.282034
BFGS:   15 22:25:33      -82.339439        0.398549
BFGS:   16 22:25:33      -82.360146        0.434567
BFGS:   17 22:25:33      -82.380981        0.332578
BFGS:   18 22:25:33      -82.394661        0.204378
BFGS:   19 22:25:33      -82.399796        0.148943
BFGS:   20 22:25:33      -82.401382        0.139432
BFGS:   21 22:25:33      -82.403084        0.103849
BFGS:   22 22:25:33      -82.404526        0.088338
BFGS:   23 22:25:33      -82.405472        0.074146
BFGS:   24 22:25:34      -82.405991        0.053052
BFGS:   25 22:25:34      -82.406364        0.052448
BFGS:   26 22:25:34      -82.406693        0.052209
BFGS:   27 22:25:34      -82.406837        0.026393
      Step     Time          Energy          fmax
BFGS:    0 22:25:56      -80.648155        1.227976
BFGS:    1 22:25:56      -80.687874        1.121608
BFGS:    2 22:25:56      -80.915276        1.180306
BFGS:    3 22:25:56      -80.949661        0.709644
BFGS:    4 22:25:56      -81.101273        1.436505
BFGS:    5 22:25:56      -81.651985        2.076213
BFGS:    6 22:25:57      -81.812798        3.416739
BFGS:    7 22:25:57      -81.936455        1.489379
BFGS:    8 22:25:57      -82.016884        1.196302
BFGS:    9 22:25:57      -82.197853        2.118178
BFGS:   10 22:25:57      -82.273949        0.496612
BFGS:   11 22:25:57      -82.290268        0.274636
BFGS:   12 22:25:57      -82.294746        0.265468
BFGS:   13 22:25:57      -82.309952        0.336312
BFGS:   14 22:25:57      -82.320206        0.282421
BFGS:   15 22:25:57      -82.339432        0.398541
BFGS:   16 22:25:57      -82.360146        0.434599
BFGS:   17 22:25:57      -82.380981        0.332599
BFGS:   18 22:25:57      -82.394661        0.204406
BFGS:   19 22:25:57      -82.399796        0.148937
BFGS:   20 22:25:58      -82.401382        0.139435
BFGS:   21 22:25:58      -82.403084        0.103857
BFGS:   22 22:25:58      -82.404518        0.088335
BFGS:   23 22:25:58      -82.405472        0.074141
BFGS:   24 22:25:58      -82.405991        0.053061
BFGS:   25 22:25:58      -82.406364        0.052434
BFGS:   26 22:25:58      -82.406693        0.052225
BFGS:   27 22:25:58      -82.406837        0.026393
      Step     Time          Energy          fmax
BFGS:    0 22:28:35      -80.648155        1.227976
BFGS:    1 22:28:35      -80.687874        1.121608
BFGS:    2 22:28:35      -80.915268        1.180308
BFGS:    3 22:28:36      -80.949661        0.709644
BFGS:    4 22:28:36      -81.101273        1.436318
BFGS:    5 22:28:36      -81.651985        2.076399
BFGS:    6 22:28:36      -81.812798        3.416944
BFGS:    7 22:28:36      -81.936455        1.489371
BFGS:    8 22:28:36      -82.016884        1.196301
BFGS:    9 22:28:36      -82.197853        2.118168
BFGS:   10 22:28:36      -82.273941        0.496650
BFGS:   11 22:28:36      -82.290276        0.274622
BFGS:   12 22:28:36      -82.294746        0.265274
BFGS:   13 22:28:36      -82.309952        0.336521
BFGS:   14 22:28:36      -82.320206        0.282250
BFGS:   15 22:28:36      -82.339439        0.398553
BFGS:   16 22:28:36      -82.360146        0.434572
BFGS:   17 22:28:37      -82.380989        0.332570
BFGS:   18 22:28:37      -82.394661        0.204397
BFGS:   19 22:28:37      -82.399796        0.148939
BFGS:   20 22:28:37      -82.401382        0.139428
BFGS:   21 22:28:37      -82.403084        0.103833
BFGS:   22 22:28:37      -82.404518        0.088336
BFGS:   23 22:28:37      -82.405472        0.074134
BFGS:   24 22:28:37      -82.405991        0.053052
BFGS:   25 22:28:37      -82.406364        0.052432
BFGS:   26 22:28:37      -82.406693        0.052188
BFGS:   27 22:28:37      -82.406837        0.026394
      Step     Time          Energy          fmax
BFGS:    0 22:32:51      -80.648155        1.227976
BFGS:    1 22:32:51      -80.687874        1.121609
BFGS:    2 22:32:51      -80.915276        1.180305
BFGS:    3 22:32:51      -80.949661        0.709643
BFGS:    4 22:32:51      -81.101265        1.436319
BFGS:    5 22:32:52      -81.651985        2.076594
BFGS:    6 22:32:52      -81.812805        3.416683
BFGS:    7 22:32:52      -81.936455        1.489172
BFGS:    8 22:32:52      -82.016891        1.196300
BFGS:    9 22:32:52      -82.197853        2.118254
BFGS:   10 22:32:52      -82.273949        0.496613
BFGS:   11 22:32:52      -82.290268        0.274622
BFGS:   12 22:32:52      -82.294746        0.265289
BFGS:   13 22:32:52      -82.309952        0.336096
BFGS:   14 22:32:52      -82.320206        0.281468
BFGS:   15 22:32:52      -82.339432        0.398521
BFGS:   16 22:32:52      -82.360153        0.434595
BFGS:   17 22:32:53      -82.380981        0.332605
BFGS:   18 22:32:53      -82.394661        0.204406
BFGS:   19 22:32:53      -82.399796        0.148944
BFGS:   20 22:32:53      -82.401382        0.139432
BFGS:   21 22:32:53      -82.403084        0.103852
BFGS:   22 22:32:53      -82.404526        0.088338
BFGS:   23 22:32:53      -82.405472        0.074147
BFGS:   24 22:32:53      -82.405991        0.053060
BFGS:   25 22:32:53      -82.406364        0.052417
BFGS:   26 22:32:53      -82.406693        0.052228
BFGS:   27 22:32:53      -82.406837        0.026390
      Step     Time          Energy          fmax
BFGS:    0 22:33:53      -80.648155        1.227976
BFGS:    1 22:33:53      -80.687874        1.121608
BFGS:    2 22:33:53      -80.915276        1.180307
BFGS:    3 22:33:53      -80.949661        0.709643
BFGS:    4 22:33:53      -81.101265        1.436324
BFGS:    5 22:33:53      -81.651978        2.076585
BFGS:    6 22:33:53      -81.812805        3.416648
BFGS:    7 22:33:54      -81.936455        1.489171
BFGS:    8 22:33:54      -82.016891        1.196302
BFGS:    9 22:33:54      -82.197853        2.118290
BFGS:   10 22:33:54      -82.273949        0.496594
BFGS:   11 22:33:54      -82.290268        0.274603
BFGS:   12 22:33:54      -82.294746        0.265460
BFGS:   13 22:33:54      -82.309952        0.335927
BFGS:   14 22:33:54      -82.320206        0.281833
BFGS:   15 22:33:54      -82.339439        0.398564
BFGS:   16 22:33:54      -82.360146        0.434587
BFGS:   17 22:33:54      -82.380981        0.332569
BFGS:   18 22:33:54      -82.394669        0.204347
BFGS:   19 22:33:55      -82.399796        0.148937
BFGS:   20 22:33:55      -82.401382        0.139433
BFGS:   21 22:33:55      -82.403084        0.103852
BFGS:   22 22:33:55      -82.404518        0.088335
BFGS:   23 22:33:55      -82.405472        0.074140
BFGS:   24 22:33:55      -82.405991        0.053053
BFGS:   25 22:33:55      -82.406364        0.052433
BFGS:   26 22:33:55      -82.406693        0.052191
BFGS:   27 22:33:55      -82.406837        0.026392
      Step     Time          Energy          fmax
BFGS:    0 22:36:56      -80.648155        1.227976
BFGS:    1 22:36:56      -80.687874        1.121608
BFGS:    2 22:36:56      -80.915276        1.180304
BFGS:    3 22:36:56      -80.949661        0.709643
BFGS:    4 22:36:56      -81.101273        1.436318
BFGS:    5 22:36:56      -81.651985        2.076403
BFGS:    6 22:36:56      -81.812798        3.416944
BFGS:    7 22:36:56      -81.936447        1.489372
BFGS:    8 22:36:56      -82.016884        1.196303
BFGS:    9 22:36:56      -82.197853        2.118170
BFGS:   10 22:36:56      -82.273941        0.496633
BFGS:   11 22:36:57      -82.290276        0.274636
BFGS:   12 22:36:57      -82.294746        0.265460
BFGS:   13 22:36:57      -82.309952        0.336513
BFGS:   14 22:36:57      -82.320198        0.282257
BFGS:   15 22:36:57      -82.339432        0.398545
BFGS:   16 22:36:57      -82.360146        0.434591
BFGS:   17 22:36:57      -82.380981        0.332584
BFGS:   18 22:36:57      -82.394661        0.204427
BFGS:   19 22:36:57      -82.399796        0.148937
BFGS:   20 22:36:57      -82.401382        0.139430
BFGS:   21 22:36:57      -82.403084        0.103850
BFGS:   22 22:36:57      -82.404526        0.088334
BFGS:   23 22:36:58      -82.405472        0.074144
BFGS:   24 22:36:58      -82.405991        0.053049
BFGS:   25 22:36:58      -82.406364        0.052430
BFGS:   26 22:36:58      -82.406693        0.052210
BFGS:   27 22:36:58      -82.406837        0.026392
      Step     Time          Energy          fmax
BFGS:    0 22:39:17      -80.648155        1.227976
BFGS:    1 22:39:17      -80.687874        1.121608
BFGS:    2 22:39:17      -80.915276        1.180307
BFGS:    3 22:39:17      -80.949661        0.709644
BFGS:    4 22:39:17      -81.101265        1.436324
BFGS:    5 22:39:18      -81.651985        2.076586
BFGS:    6 22:39:18      -81.812805        3.416649
BFGS:    7 22:39:18      -81.936455        1.489170
BFGS:    8 22:39:18      -82.016891        1.196302
BFGS:    9 22:39:18      -82.197853        2.118289
BFGS:   10 22:39:18      -82.273949        0.496614
