      Step     Time          Energy          fmax
BFGS:    0 11:17:48      -80.756500        1.421043
BFGS:    1 11:17:48      -80.805183        1.305122
BFGS:    2 11:17:49      -81.105240        1.388262
BFGS:    3 11:17:49      -81.294914        1.481977
BFGS:    4 11:17:49      -81.776649        1.769638
BFGS:    5 11:17:49      -81.843361        2.187847
BFGS:    6 11:17:49      -81.984810        1.145938
BFGS:    7 11:17:49      -82.052094        0.935536
BFGS:    8 11:17:49      -82.231445        1.923748
BFGS:    9 11:17:49      -82.293449        0.293348
BFGS:   10 11:17:49      -82.305252        0.276473
BFGS:   11 11:17:49      -82.314598        0.281339
BFGS:   12 11:17:49      -82.325630        0.230444
BFGS:   13 11:17:50      -82.331757        0.189818
BFGS:   14 11:17:50      -82.337875        0.184932
BFGS:   15 11:17:50      -82.347008        0.254511
BFGS:   16 11:17:50      -82.362442        0.317282
BFGS:   17 11:17:50      -82.380363        0.257550
BFGS:   18 11:17:50      -82.392349        0.238218
BFGS:   19 11:17:50      -82.397446        0.207162
BFGS:   20 11:17:50      -82.400284        0.176089
BFGS:   21 11:17:50      -82.402351        0.114286
BFGS:   22 11:17:50      -82.403763        0.078900
BFGS:   23 11:17:50      -82.404709        0.089975
BFGS:   24 11:17:51      -82.405495        0.076679
BFGS:   25 11:17:51      -82.406242        0.043789
